fighterA.crucialFeats[0] | PL: Wyciska ciężar równy masie Ziemi przez pięć dni. | EN: Bench-presses a weight equal to Earth's mass for five days.
fighterA.crucialFeats[1] | PL: Czyta każdy opublikowany tekst medyczny w kilka sekund. | EN: Reads every published medical text in seconds.
fighterA.crucialFeats[2] | PL: Udaje mu się trafić Flasha. | EN: Manages to tag the Flash.
fighterA.crucialFeats[3] | PL: Wylatuje z czarnej dziury, nie odnosząc obrażeń. | EN: Flies out of a black hole without taking damage.
fighterA.crucialFeats[4] | PL: Jako jedyny przeżywa aurę śmierci Doomsdaya. | EN: The only person to survive Doomsday's death aura.
fighterA.dossier.advantage | PL: Potworna przewaga w sile, szybkości i wytrzymałości nad większością przeciwników. | EN: Monstrous statistical advantage in strength, speed, and durability over most opponents.
fighterA.dossier.mentality | PL: Zwykle się hamuje i walczy poniżej swoich możliwości. Gdy sytuacja tego wymaga, bez wahania wchodzi na pełną moc. | EN: Usually holds back and fights below his ceiling. When the situation demands it, he goes full power without hesitation.
fighterA.dossier.quote | PL: To wygląda na robotę dla Supermana. | EN: This looks like a job for Superman.
fighterA.dossier.style | PL: Bezpośrednia walka na sile i szybkości. Narzuca własne tempo i trzyma je przez całą walkę. | EN: Direct combat built on strength and speed. He dictates the pace and holds it through the entire fight.
fighterA.profile.powers[0] | PL: Kryptoniańska siła, szybkość, lot, wzmocnione zmysły i percepcja bojowa na elitarnym poziomie. | EN: Kryptonian strength, speed, flight, enhanced senses, and combat perception at an elite level.
fighterA.profile.tools[0] | PL: Heat Vision, Freeze Breath i pełna kontrola dystansu w połączeniu z mobilnością powietzną. | EN: Heat Vision, Freeze Breath, and full range control combined with aerial mobility.
fighterA.profile.tools[1] | PL: Solar Flare jako kosztowna, ale potencjalnie rozstrzygająca opcja kończąca. | EN: Solar Flare as a costly but potentially decisive finishing option.
fighterA.profile.weaknesses[0] | PL: Magia, kryptonit i czerwone słońce. | EN: Magic, kryptonite, and red sun.
fighterA.profile.weaknesses[1] | PL: Solar Flare zostawia go bezbronnym, jeśli nie zdoła zakończyć walki natychmiast. | EN: Solar Flare leaves him defenseless if he fails to end the fight immediately.
fighterB.crucialFeats[0] | PL: Przetrwał zniszczenie Ziemi na Earth-4023. | EN: Survived Earth's destruction on Earth-4023.
fighterB.crucialFeats[1] | PL: Wraca do życia chwilę po tym, jak Namora skręca mu kark o sto osiemdziesiąt stopni. | EN: Returns to life moments after Namora snaps his neck one hundred and eighty degrees.
fighterB.crucialFeats[2] | PL: Regeneruje się po katastrofalnych obrażeniach. | EN: Regenerates after catastrophic injuries.
fighterB.crucialFeats[3] | PL: Jego Atomic Vision topi adamantium i zabija Visiona na miejscu. | EN: His Atomic Vision melts adamantium and kills Vision on the spot.
fighterB.crucialFeats[4] | PL: Walczył z dwoma innymi Hyperionami naraz i dominował w starciu. | EN: Fought two other Hyperions simultaneously and dominated the confrontation.
fighterB.dossier.advantage | PL: Potworna regeneracja i przeżywalność. Hyperion wraca do walki po obrażeniach, które byłyby śmiertelne dla innych. | EN: Monstrous regeneration and survivability. Hyperion returns to the fight after injuries that would be fatal to others.
fighterB.dossier.mentality | PL: Megalo-psychopata z kompleksem boga. Nie cofa się i nie kalkuluje — bez zastanowienia zabije każdego, jeśli znalazł choć jeden powód. | EN: Megalo-psychopath with a god complex. He does not hesitate or calculate — he will kill anyone without a second thought if he finds even one reason.
fighterB.dossier.quote | PL: Właśnie tak, skarbie... Hyperion. | EN: That's right, baby... Hyperion.
fighterB.dossier.style | PL: Brutalna agresja w zwarciu. Hyperion masakruje wrogów swoim Atomic Vision i niemożliwą siłą ciosów. | EN: Brutal close-quarters aggression. Hyperion massacres enemies with his Atomic Vision and impossible striking power.
fighterB.profile.powers[0] | PL: Ekstremalna siła, lot, ogromna wytrzymałość i niemal natychmiastowa regeneracja nawet po katastrofalnych obrażeniach. | EN: Extreme strength, flight, massive durability, and near-instantaneous regeneration even after catastrophic injuries.
